ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,2,22,2204659,2,3,2,135.580537,210.564705,B, ,D, ,A,B,B,E,D,A
2017,2,23,2308351,2,3,1,323.908438,291.364052,B,A,D,A,A,A,A,B,A,A
2017,3,33,3304904,2,3,1,194.377716,163.684904,A,C,C,A,A,B, , , ,A
2017,1,15,1502939,2,3,1,194.731195,218.105251,B,F,D,B,A,B,C,A,D,B
2017,5,52,5205497,2,3,1,169.468575,189.723965,A,A,C,A,A,A,C,D,C,B
2017,2,23,2312908,2,3,1,298.431339,334.964874,A,C,C,A,A,B,B,B,B,C
2017,3,32,3205200,2,3,1,266.052639,254.567058,B,C,D,B,A,A,A,C,D,B
2017,2,23,2309409,2,3,1,320.311998,274.707635,A,A,D,A,A,A,A, ,A,B
2017,2,21,2111300,1,2,1,138.16381,136.080633,A,C,D,B,A,B,A,A,A,A
2017,5,52,5221403,2,3,1,231.869631,266.834921,A,A,C,C,A,A,A,D,C,C
2017,5,52,5207808,2,3,1,194.936583,252.244341,B,C,D,B,A,A,C,E,A,C
2017,4,42,4201604,2,3,1,250.962291,243.811698,B,A,D,B,A,A,A,D,D,B
2017,2,29,2927408,1,3,1,162.306768,176.088417,B,C,C,A,A,B,A,A,B,A
2017,5,52,5222005,2,3,2,284.181495,277.060143,B,F,D,A,A,A,A,A,A,C
2017,3,35,3523909,2,3,1,286.444565,247.831027,A,F,C,B,A,A,A,B,A,C
2017,2,29,2930774,2,3,1,168.413482,210.33292,A,B,E,A,A,B,A,B,A,C
2017,3,31,3135076,2,3,1,195.670372,175.56996,B,F,C,B,A,A, ,A,A,B
2017,3,31,3118304,2,2,1,272.452174,314.833967,A,A,C,B,A,A,A,D,E,B
2017,3,33,3306305,2,3,1,280.797826,319.539318,A,A,D,B,A,C,A,C,B,B
2017,2,25,2503704,2,3,2,226.849799,223.89905,B,C,D,A,A,A,A,D,E,B
